target,R2_test,RMSE_test,MAE_test,model,nom_test
EB (kcal) kcal/kg brut,-0.5028204917907715,88.71152885370931,81.76241302490234,MLP,Avoine
ED porc croissance (kcal) kcal/kg brut,0.5552421808242798,96.58086900526678,77.72191619873047,MLP,Avoine
EM porc croissance (kcal) kcal/kg brut,0.5973712205886841,89.1616827121522,71.17173767089844,MLP,Avoine
EN porc croissance (kcal) kcal/kg brut,0.7277659177780151,59.12050103456605,49.434749603271484,MLP,Avoine
EMAn coq (kcal) kcal/kg brut,0.6561594009399414,101.582719141225,83.46102142333984,MLP,Avoine
EMAn poulet (kcal) kcal/kg brut,0.6152850985527039,106.06945137797688,85.6427001953125,MLP,Avoine
UFL 2018 par kg brut,0.6511797308921814,0.02503712377875887,0.020107878372073174,MLP,Avoine
UFV 2018 par kg brut,0.5291237831115723,0.03410909549571968,0.02785366214811802,MLP,Avoine
PDIA 2018 g/kg brut,-33.475067138671875,13.103282581257908,12.855779647827148,MLP,Avoine
PDI 2018 g/kg brut,-15.323123931884766,12.912738489864076,12.481175422668457,MLP,Avoine
BalProRu 2018 g/kg brut,0.6046034097671509,5.043527727299133,3.9886116981506348,MLP,Avoine
EB (kcal) kcal/kg brut,-0.9368370771408081,100.7101057025808,97.96227264404297,Transformer,Avoine
ED porc croissance (kcal) kcal/kg brut,0.7818137407302856,67.6461417102354,51.088863372802734,Transformer,Avoine
EM porc croissance (kcal) kcal/kg brut,0.8181543350219727,59.920760664345295,43.2646598815918,Transformer,Avoine
EN porc croissance (kcal) kcal/kg brut,0.6426236629486084,67.73759543958953,58.09072494506836,Transformer,Avoine
EMAn coq (kcal) kcal/kg brut,0.39556223154067993,134.68432420849874,111.35725402832031,Transformer,Avoine
EMAn poulet (kcal) kcal/kg brut,-0.19912433624267578,187.2634132378773,163.2977294921875,Transformer,Avoine
UFL 2018 par kg brut,-1.011488914489746,0.06012324210990512,0.05327187851071358,Transformer,Avoine
UFV 2018 par kg brut,-0.8304609060287476,0.0672507373825226,0.05858954042196274,Transformer,Avoine
PDIA 2018 g/kg brut,-21.593507766723633,10.607654729825414,10.465936660766602,Transformer,Avoine
PDI 2018 g/kg brut,-6.875608444213867,8.969305041214914,8.652918815612793,Transformer,Avoine
BalProRu 2018 g/kg brut,-3.260141372680664,16.55502945464431,16.285184860229492,Transformer,Avoine
EB (kcal) kcal/kg brut,0.7721333503723145,26.22388488900672,22.274370193481445,MLP,Blé tendre
ED porc croissance (kcal) kcal/kg brut,-2.2355048656463623,108.23906104515828,105.2641830444336,MLP,Blé tendre
EM porc croissance (kcal) kcal/kg brut,-2.2015323638916016,100.97807814384764,98.16059875488281,MLP,Blé tendre
EN porc croissance (kcal) kcal/kg brut,-0.4865870475769043,45.88160396096948,43.4664192199707,MLP,Blé tendre
EMAn coq (kcal) kcal/kg brut,0.4204448461532593,40.89663394423495,33.592735290527344,MLP,Blé tendre
EMAn poulet (kcal) kcal/kg brut,0.4766843914985657,38.067496336687945,29.04303550720215,MLP,Blé tendre
UFL 2018 par kg brut,0.7424956560134888,0.008560702534099624,0.006717333570122719,MLP,Blé tendre
UFV 2018 par kg brut,0.5946414470672607,0.01153981547160432,0.009919692762196064,MLP,Blé tendre
PDIA 2018 g/kg brut,-3.3696699142456055,4.428629430927204,4.207456111907959,MLP,Blé tendre
PDI 2018 g/kg brut,0.030695557594299316,2.3556334278242357,1.9562190771102905,MLP,Blé tendre
BalProRu 2018 g/kg brut,-1.9680960178375244,11.803504707868417,10.934569358825684,MLP,Blé tendre
EB (kcal) kcal/kg brut,0.4025875926017761,42.46134645042256,42.186431884765625,Transformer,Blé tendre
ED porc croissance (kcal) kcal/kg brut,0.8956140875816345,19.441686050704053,17.336292266845703,Transformer,Blé tendre
EM porc croissance (kcal) kcal/kg brut,0.9269911646842957,15.248804764732537,13.427206993103027,Transformer,Blé tendre
EN porc croissance (kcal) kcal/kg brut,0.5396938323974609,25.530941609979596,24.82427978515625,Transformer,Blé tendre
EMAn coq (kcal) kcal/kg brut,0.27352625131607056,45.787838156511334,38.931297302246094,Transformer,Blé tendre
EMAn poulet (kcal) kcal/kg brut,0.7764542102813721,24.880306732151386,19.13359832763672,Transformer,Blé tendre
UFL 2018 par kg brut,0.8862278461456299,0.005690300619854911,0.004423578269779682,Transformer,Blé tendre
UFV 2018 par kg brut,0.6596823930740356,0.010573563609109125,0.009440058842301369,Transformer,Blé tendre
PDIA 2018 g/kg brut,0.7343004941940308,1.0920445360911146,0.9070059657096863,Transformer,Blé tendre
PDI 2018 g/kg brut,-1.0117638111114502,3.3936426472413523,3.3449654579162598,Transformer,Blé tendre
BalProRu 2018 g/kg brut,0.8321899175643921,2.806603502467396,2.7428386211395264,Transformer,Blé tendre
EB (kcal) kcal/kg brut,0.753105103969574,221.97547021011127,177.69528198242188,MLP,Germes de maïs
ED porc croissance (kcal) kcal/kg brut,0.2713431119918823,339.33129322610375,269.5303039550781,MLP,Germes de maïs
EM porc croissance (kcal) kcal/kg brut,0.3015797734260559,327.69329934788107,259.5834045410156,MLP,Germes de maïs
EN porc croissance (kcal) kcal/kg brut,0.6426421403884888,205.33831648951931,163.3100128173828,MLP,Germes de maïs
EMAn coq (kcal) kcal/kg brut,0.8446605801582336,137.64963448916237,98.59830474853516,MLP,Germes de maïs
EMAn poulet (kcal) kcal/kg brut,0.8266500234603882,136.67217420940153,101.5245132446289,MLP,Germes de maïs
UFL 2018 par kg brut,0.6767791509628296,0.10143730351557714,0.07487859576940536,MLP,Germes de maïs
UFV 2018 par kg brut,0.6811408996582031,0.11117939886045351,0.08117909729480743,MLP,Germes de maïs
PDIA 2018 g/kg brut,-7.509912490844727,9.868035286842224,6.987946510314941,MLP,Germes de maïs
PDI 2018 g/kg brut,-3.6460018157958984,9.526844444814012,6.958393096923828,MLP,Germes de maïs
BalProRu 2018 g/kg brut,-1.2692656517028809,13.333499589519285,10.330233573913574,MLP,Germes de maïs
EB (kcal) kcal/kg brut,0.9619569182395935,87.1338012278028,78.19428253173828,Transformer,Germes de maïs
ED porc croissance (kcal) kcal/kg brut,0.8358271718025208,161.06937558083473,119.8819580078125,Transformer,Germes de maïs
EM porc croissance (kcal) kcal/kg brut,0.8501824736595154,151.77158258794694,111.22039794921875,Transformer,Germes de maïs
EN porc croissance (kcal) kcal/kg brut,0.9603217244148254,68.4218196934008,45.93464660644531,Transformer,Germes de maïs
EMAn coq (kcal) kcal/kg brut,0.863758385181427,128.9107537092038,111.22516632080078,Transformer,Germes de maïs
EMAn poulet (kcal) kcal/kg brut,0.8594052195549011,123.08433259228202,102.87641906738281,Transformer,Germes de maïs
UFL 2018 par kg brut,0.6019189953804016,0.11257286808015456,0.09189310669898987,Transformer,Germes de maïs
UFV 2018 par kg brut,0.4948233366012573,0.1399415015508483,0.11511809378862381,Transformer,Germes de maïs
PDIA 2018 g/kg brut,-7.150762557983398,9.657557130506861,8.77061939239502,Transformer,Germes de maïs
PDI 2018 g/kg brut,-1.9161686897277832,7.5477188302026015,6.372931957244873,Transformer,Germes de maïs
BalProRu 2018 g/kg brut,0.009644508361816406,8.808400167634506,7.125295639038086,Transformer,Germes de maïs
EB (kcal) kcal/kg brut,-0.6865426301956177,148.38620166225024,145.08242797851562,MLP,"Manioc, amidon 70-74 %"
ED porc croissance (kcal) kcal/kg brut,0.6507096290588379,137.09341164193486,124.3225326538086,MLP,"Manioc, amidon 70-74 %"
EM porc croissance (kcal) kcal/kg brut,0.7236200571060181,123.70822764043425,110.19056701660156,MLP,"Manioc, amidon 70-74 %"
EN porc croissance (kcal) kcal/kg brut,0.9456565380096436,37.559380070097006,32.4561767578125,MLP,"Manioc, amidon 70-74 %"
EMAn coq (kcal) kcal/kg brut,0.7511950135231018,124.80577488767297,101.54036712646484,MLP,"Manioc, amidon 70-74 %"
EMAn poulet (kcal) kcal/kg brut,0.8248229622840881,104.72339403310275,83.46270751953125,MLP,"Manioc, amidon 70-74 %"
UFL 2018 par kg brut,-0.07031440734863281,0.0730660322894061,0.07221512496471405,MLP,"Manioc, amidon 70-74 %"
UFV 2018 par kg brut,-0.03890788555145264,0.08272638296730532,0.08145912736654282,MLP,"Manioc, amidon 70-74 %"
PDIA 2018 g/kg brut,-15.497682571411133,10.008979199289826,9.633966445922852,MLP,"Manioc, amidon 70-74 %"
PDI 2018 g/kg brut,-8.736942291259766,8.83643699198828,8.554794311523438,MLP,"Manioc, amidon 70-74 %"
BalProRu 2018 g/kg brut,-41.34738540649414,37.24298971891388,37.053245544433594,MLP,"Manioc, amidon 70-74 %"
EB (kcal) kcal/kg brut,0.6272673606872559,69.75792755688238,65.50901794433594,Transformer,"Manioc, amidon 70-74 %"
ED porc croissance (kcal) kcal/kg brut,0.8341057896614075,94.47978971220512,81.78533935546875,Transformer,"Manioc, amidon 70-74 %"
EM porc croissance (kcal) kcal/kg brut,0.8271135091781616,97.84212810057844,84.09252166748047,Transformer,"Manioc, amidon 70-74 %"
EN porc croissance (kcal) kcal/kg brut,0.8449146747589111,63.44976213078442,62.15815353393555,Transformer,"Manioc, amidon 70-74 %"
EMAn coq (kcal) kcal/kg brut,0.8604987859725952,93.45318116743003,79.6913833618164,Transformer,"Manioc, amidon 70-74 %"
EMAn poulet (kcal) kcal/kg brut,0.9038153290748596,77.59935352803366,59.38838577270508,Transformer,"Manioc, amidon 70-74 %"
UFL 2018 par kg brut,0.7577069997787476,0.03476404590985209,0.0302093718200922,Transformer,"Manioc, amidon 70-74 %"
UFV 2018 par kg brut,0.7294517755508423,0.042216076984837266,0.03585156425833702,Transformer,"Manioc, amidon 70-74 %"
PDIA 2018 g/kg brut,-1.151656150817871,3.614637625485329,3.002545118331909,Transformer,"Manioc, amidon 70-74 %"
PDI 2018 g/kg brut,0.40514183044433594,2.184100424955383,1.7396246194839478,Transformer,"Manioc, amidon 70-74 %"
BalProRu 2018 g/kg brut,-1.4613401889801025,8.978774154356563,8.708357810974121,Transformer,"Manioc, amidon 70-74 %"
EB (kcal) kcal/kg brut,0.8995577096939087,49.2987445168485,37.89033508300781,MLP,Farine de gousse de caroube
ED porc croissance (kcal) kcal/kg brut,-3.9507346153259277,420.66946273172715,402.5387878417969,MLP,Farine de gousse de caroube
EM porc croissance (kcal) kcal/kg brut,-3.4850993156433105,389.80111114515825,371.5885925292969,MLP,Farine de gousse de caroube
EN porc croissance (kcal) kcal/kg brut,-1.2613043785095215,189.1265387412618,174.45115661621094,MLP,Farine de gousse de caroube
EMAn coq (kcal) kcal/kg brut,0.12097841501235962,120.81014369792175,102.95523071289062,MLP,Farine de gousse de caroube
EMAn poulet (kcal) kcal/kg brut,-0.26702630519866943,144.1551491666184,127.75054931640625,MLP,Farine de gousse de caroube
UFL 2018 par kg brut,-1.6199121475219727,0.04077463223531878,0.03142455220222473,MLP,Farine de gousse de caroube
UFV 2018 par kg brut,-3.198700428009033,0.04545570212130005,0.03236577287316322,MLP,Farine de gousse de caroube
PDIA 2018 g/kg brut,-2.2818737030029297,2.982205865877983,2.289025068283081,MLP,Farine de gousse de caroube
PDI 2018 g/kg brut,0.18981188535690308,2.435276680331339,1.6756601333618164,MLP,Farine de gousse de caroube
BalProRu 2018 g/kg brut,-0.1360229253768921,4.72499409024308,3.4157299995422363,MLP,Farine de gousse de caroube
EB (kcal) kcal/kg brut,0.9217374324798584,43.516568941736864,31.639503479003906,Transformer,Farine de gousse de caroube
ED porc croissance (kcal) kcal/kg brut,-2.5598933696746826,356.71770833181245,347.6855163574219,Transformer,Farine de gousse de caroube
EM porc croissance (kcal) kcal/kg brut,-2.3522796630859375,336.9978672039335,327.8872985839844,Transformer,Farine de gousse de caroube
EN porc croissance (kcal) kcal/kg brut,-1.1905672550201416,186.14494730249865,179.93869018554688,Transformer,Farine de gousse de caroube
EMAn coq (kcal) kcal/kg brut,0.2684323191642761,110.21251222779789,92.33355712890625,Transformer,Farine de gousse de caroube
EMAn poulet (kcal) kcal/kg brut,0.4286844730377197,96.80000121061467,79.22123718261719,Transformer,Farine de gousse de caroube
UFL 2018 par kg brut,-7.876676559448242,0.07505366372468131,0.06748449057340622,Transformer,Farine de gousse de caroube
UFV 2018 par kg brut,-16.37925148010254,0.0924797076201009,0.08391741663217545,Transformer,Farine de gousse de caroube
PDIA 2018 g/kg brut,-0.7407742738723755,2.171940534961408,1.8743383884429932,Transformer,Farine de gousse de caroube
PDI 2018 g/kg brut,0.5714535117149353,1.7711459912309369,1.369602084159851,Transformer,Farine de gousse de caroube
BalProRu 2018 g/kg brut,0.6293919086456299,2.6987654088593294,2.2327964305877686,Transformer,Farine de gousse de caroube
EB (kcal) kcal/kg brut,0.9423537254333496,29.596327930220077,20.37944221496582,MLP,Poudre de lait entier
ED porc croissance (kcal) kcal/kg brut,-2.716689348220825,195.46188287297858,180.5369415283203,MLP,Poudre de lait entier
EM porc croissance (kcal) kcal/kg brut,-5.253394603729248,232.18792900364136,219.98907470703125,MLP,Poudre de lait entier
EN porc croissance (kcal) kcal/kg brut,-7.039664268493652,302.907125308237,300.1994323730469,MLP,Poudre de lait entier
EMAn coq (kcal) kcal/kg brut,0.7432804107666016,74.86902626420354,63.4769401550293,MLP,Poudre de lait entier
EMAn poulet (kcal) kcal/kg brut,0.9410315752029419,35.88248676506845,31.30752944946289,MLP,Poudre de lait entier
UFL 2018 par kg brut,-3.646437644958496,0.1104918659822924,0.10933608561754227,MLP,Poudre de lait entier
UFV 2018 par kg brut,-4.743342399597168,0.1355722104121466,0.13381779193878174,MLP,Poudre de lait entier
PDIA 2018 g/kg brut,-13.428500175476074,17.134916010289853,15.970292091369629,MLP,Poudre de lait entier
PDI 2018 g/kg brut,-2.940520763397217,7.916034177979122,6.047729015350342,MLP,Poudre de lait entier
BalProRu 2018 g/kg brut,-1.8603522777557373,55.65041554202448,55.476768493652344,MLP,Poudre de lait entier
EB (kcal) kcal/kg brut,0.8200531601905823,52.290691391967655,48.718353271484375,Transformer,Poudre de lait entier
ED porc croissance (kcal) kcal/kg brut,0.7154413461685181,54.08413358702693,52.50953674316406,Transformer,Poudre de lait entier
EM porc croissance (kcal) kcal/kg brut,0.7559837102890015,45.86602645545502,43.93809509277344,Transformer,Poudre de lait entier
EN porc croissance (kcal) kcal/kg brut,0.9601540565490723,21.324680639918885,17.263832092285156,Transformer,Poudre de lait entier
EMAn coq (kcal) kcal/kg brut,0.9766881465911865,22.561141292841256,19.460721969604492,Transformer,Poudre de lait entier
EMAn poulet (kcal) kcal/kg brut,0.962687075138092,28.543186594642204,23.96910858154297,Transformer,Poudre de lait entier
UFL 2018 par kg brut,0.7038651704788208,0.02789427151570421,0.027217067778110504,Transformer,Poudre de lait entier
UFV 2018 par kg brut,0.645104169845581,0.03370068774708782,0.033008940517902374,Transformer,Poudre de lait entier
PDIA 2018 g/kg brut,0.8635410070419312,1.6663739980589172,1.3857954740524292,Transformer,Poudre de lait entier
PDI 2018 g/kg brut,0.8551310300827026,1.517814077840279,1.2587121725082397,Transformer,Poudre de lait entier
BalProRu 2018 g/kg brut,0.99424809217453,2.4955345327334064,1.9489598274230957,Transformer,Poudre de lait entier
EB (kcal) kcal/kg brut,0.7970527410507202,64.9741009099972,56.84040832519531,MLP,"Tourteau de palmiste, huile 5-20%"
ED porc croissance (kcal) kcal/kg brut,0.40993058681488037,125.72327079865724,114.26823425292969,MLP,"Tourteau de palmiste, huile 5-20%"
EM porc croissance (kcal) kcal/kg brut,0.341545045375824,127.97066543133039,116.26701354980469,MLP,"Tourteau de palmiste, huile 5-20%"
EN porc croissance (kcal) kcal/kg brut,0.32764941453933716,123.54398887643218,114.16630554199219,MLP,"Tourteau de palmiste, huile 5-20%"
EMAn coq (kcal) kcal/kg brut,0.23895078897476196,136.10215602627315,126.60955810546875,MLP,"Tourteau de palmiste, huile 5-20%"
EMAn poulet (kcal) kcal/kg brut,0.5462615489959717,92.45840492148348,84.212890625,MLP,"Tourteau de palmiste, huile 5-20%"
UFL 2018 par kg brut,0.5144495964050293,0.07798887851580961,0.06172513961791992,MLP,"Tourteau de palmiste, huile 5-20%"
UFV 2018 par kg brut,0.6269593238830566,0.08104380281739651,0.059279605746269226,MLP,"Tourteau de palmiste, huile 5-20%"
PDIA 2018 g/kg brut,0.02497851848602295,4.080606808884058,2.8705527782440186,MLP,"Tourteau de palmiste, huile 5-20%"
PDI 2018 g/kg brut,0.6350586414337158,3.1673851369310704,2.114631175994873,MLP,"Tourteau de palmiste, huile 5-20%"
BalProRu 2018 g/kg brut,-9.83649730682373,16.074281876394878,15.452774047851562,MLP,"Tourteau de palmiste, huile 5-20%"
EB (kcal) kcal/kg brut,0.822391152381897,60.78282854633988,56.55949783325195,Transformer,"Tourteau de palmiste, huile 5-20%"
ED porc croissance (kcal) kcal/kg brut,0.7410472631454468,83.28645035358393,76.95533752441406,Transformer,"Tourteau de palmiste, huile 5-20%"
EM porc croissance (kcal) kcal/kg brut,0.7504086494445801,78.78838040421157,71.25740051269531,Transformer,"Tourteau de palmiste, huile 5-20%"
EN porc croissance (kcal) kcal/kg brut,0.8622194528579712,55.92649813245395,49.8530387878418,Transformer,"Tourteau de palmiste, huile 5-20%"
EMAn coq (kcal) kcal/kg brut,0.9266147613525391,42.263258078364444,34.7873420715332,Transformer,"Tourteau de palmiste, huile 5-20%"
EMAn poulet (kcal) kcal/kg brut,0.8920629620552063,45.095045297145035,40.13621139526367,Transformer,"Tourteau de palmiste, huile 5-20%"
UFL 2018 par kg brut,0.9255049228668213,0.03054775176869313,0.024035818874835968,Transformer,"Tourteau de palmiste, huile 5-20%"
UFV 2018 par kg brut,0.9381809830665588,0.032991559214145795,0.024921532720327377,Transformer,"Tourteau de palmiste, huile 5-20%"
PDIA 2018 g/kg brut,-1.0353353023529053,5.895703461455632,5.659925937652588,Transformer,"Tourteau de palmiste, huile 5-20%"
PDI 2018 g/kg brut,0.0760088562965393,5.039915027507614,4.75459098815918,Transformer,"Tourteau de palmiste, huile 5-20%"
BalProRu 2018 g/kg brut,-1.6097118854522705,7.888299761819667,7.627927780151367,Transformer,"Tourteau de palmiste, huile 5-20%"
EB (kcal) kcal/kg brut,0.08690237998962402,120.29182046304105,91.01127624511719,MLP,Graine de soja extrudée
ED porc croissance (kcal) kcal/kg brut,0.06991279125213623,156.1717679151709,145.64108276367188,MLP,Graine de soja extrudée
EM porc croissance (kcal) kcal/kg brut,0.10518783330917358,146.5866184846011,132.5294647216797,MLP,Graine de soja extrudée
EN porc croissance (kcal) kcal/kg brut,0.1823951005935669,111.9320865176179,94.49684143066406,MLP,Graine de soja extrudée
EMAn coq (kcal) kcal/kg brut,-6.672543048858643,236.8744805403275,178.14706420898438,MLP,Graine de soja extrudée
EMAn poulet (kcal) kcal/kg brut,-7.059080123901367,222.72343065447785,160.42076110839844,MLP,Graine de soja extrudée
UFL 2018 par kg brut,-0.7314424514770508,0.047348686309497845,0.036996934562921524,MLP,Graine de soja extrudée
UFV 2018 par kg brut,-1.4410555362701416,0.05796549068783747,0.04584123194217682,MLP,Graine de soja extrudée
PDIA 2018 g/kg brut,-21.84665298461914,35.651973752120306,34.064640045166016,MLP,Graine de soja extrudée
PDI 2018 g/kg brut,-17.46377944946289,32.31231677595538,30.431720733642578,MLP,Graine de soja extrudée
BalProRu 2018 g/kg brut,-38.16714096069336,52.87792960634073,51.34517288208008,MLP,Graine de soja extrudée
EB (kcal) kcal/kg brut,0.8206233978271484,53.31635115779445,51.240909576416016,Transformer,Graine de soja extrudée
ED porc croissance (kcal) kcal/kg brut,0.9173216819763184,46.562528838078315,25.427799224853516,Transformer,Graine de soja extrudée
EM porc croissance (kcal) kcal/kg brut,0.9169425964355469,44.65988138007996,24.552526473999023,Transformer,Graine de soja extrudée
EN porc croissance (kcal) kcal/kg brut,0.975960373878479,19.193171653866006,15.573302268981934,Transformer,Graine de soja extrudée
EMAn coq (kcal) kcal/kg brut,-2.793041944503784,166.5491551877403,123.4844970703125,Transformer,Graine de soja extrudée
EMAn poulet (kcal) kcal/kg brut,-5.765905857086182,204.07328646836655,154.2905731201172,Transformer,Graine de soja extrudée
UFL 2018 par kg brut,-1.5355513095855713,0.05729808170895953,0.054548658430576324,Transformer,Graine de soja extrudée
UFV 2018 par kg brut,-2.3840959072113037,0.06824990089727201,0.06482058018445969,Transformer,Graine de soja extrudée
PDIA 2018 g/kg brut,-53.08758544921875,54.85561214309571,54.6592903137207,Transformer,Graine de soja extrudée
PDI 2018 g/kg brut,-43.319358825683594,50.06158073048009,49.83751678466797,Transformer,Graine de soja extrudée
BalProRu 2018 g/kg brut,-28.145965576171875,45.61448134313406,45.40400695800781,Transformer,Graine de soja extrudée
EB (kcal) kcal/kg brut,0.7307594418525696,43.7561993375653,32.74314498901367,MLP,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
ED porc croissance (kcal) kcal/kg brut,-1.9291267395019531,128.56930584805224,102.71070098876953,MLP,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
EM porc croissance (kcal) kcal/kg brut,-2.0425353050231934,123.00725651867047,97.37071990966797,MLP,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
EN porc croissance (kcal) kcal/kg brut,0.25263363122940063,54.66736013081183,40.767879486083984,MLP,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
EMAn coq (kcal) kcal/kg brut,-0.1822655200958252,106.56066713966274,82.74118041992188,MLP,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
EMAn poulet (kcal) kcal/kg brut,-0.5203202962875366,117.52289504337017,96.84126281738281,MLP,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
UFL 2018 par kg brut,-3.01821231842041,0.07365861132125828,0.06833427399396896,MLP,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
UFV 2018 par kg brut,-4.237248420715332,0.09480232964355044,0.08888988941907883,MLP,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
PDIA 2018 g/kg brut,-0.4941788911819458,8.165833670763458,7.30377197265625,MLP,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
PDI 2018 g/kg brut,-0.8091546297073364,9.04613917492805,8.126531600952148,MLP,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
BalProRu 2018 g/kg brut,0.48263877630233765,6.647227301540083,4.69865608215332,MLP,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
EB (kcal) kcal/kg brut,0.9479204416275024,19.244338751295388,14.823533058166504,Transformer,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
ED porc croissance (kcal) kcal/kg brut,0.3128877282142639,62.27045934808796,57.7662353515625,Transformer,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
EM porc croissance (kcal) kcal/kg brut,0.05639618635177612,68.50271222390577,63.13618469238281,Transformer,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
EN porc croissance (kcal) kcal/kg brut,0.8341208100318909,25.754746083018976,21.610265731811523,Transformer,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
EMAn coq (kcal) kcal/kg brut,0.5861575603485107,63.045914645721695,52.75856399536133,Transformer,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
EMAn poulet (kcal) kcal/kg brut,0.4277348518371582,72.10304177226159,61.56045150756836,Transformer,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
UFL 2018 par kg brut,0.2334957718849182,0.032170984720896544,0.029727261513471603,Transformer,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
UFV 2018 par kg brut,-0.006950736045837402,0.041569187210730676,0.03869311138987541,Transformer,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
PDIA 2018 g/kg brut,-0.19175875186920166,7.292784890307599,6.594686031341553,Transformer,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
PDI 2018 g/kg brut,-0.436596155166626,8.06107146153104,7.381048202514648,Transformer,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
BalProRu 2018 g/kg brut,0.2127872109413147,8.199543488983663,7.669468879699707,Transformer,"Drêches de maïs de distillerie avec solubles, déshydratées, huile > 6 %"
EB (kcal) kcal/kg brut,0.2133767008781433,46.95427931193412,40.50674057006836,MLP,Triticale
ED porc croissance (kcal) kcal/kg brut,-0.8730208873748779,71.55781917005996,66.27216339111328,MLP,Triticale
EM porc croissance (kcal) kcal/kg brut,-1.623105525970459,80.6228015688645,76.67826843261719,MLP,Triticale
EN porc croissance (kcal) kcal/kg brut,-1.428311824798584,61.92987426252273,58.6578483581543,MLP,Triticale
EMAn coq (kcal) kcal/kg brut,0.05253785848617554,64.88420801103108,55.18073272705078,MLP,Triticale
EMAn poulet (kcal) kcal/kg brut,0.02412879467010498,63.28222607271927,54.790225982666016,MLP,Triticale
UFL 2018 par kg brut,-0.6940016746520996,0.02199934821660231,0.020469507202506065,MLP,Triticale
UFV 2018 par kg brut,-0.37002241611480713,0.02166535676031573,0.019077319651842117,MLP,Triticale
PDIA 2018 g/kg brut,-0.9489890336990356,2.1220867158103944,1.796796441078186,MLP,Triticale
PDI 2018 g/kg brut,0.42498934268951416,1.392016068680963,1.083108901977539,MLP,Triticale
BalProRu 2018 g/kg brut,-11.370382308959961,19.59578790364024,19.108535766601562,MLP,Triticale
EB (kcal) kcal/kg brut,0.8655455112457275,19.412411115630785,18.558979034423828,Transformer,Triticale
ED porc croissance (kcal) kcal/kg brut,-1.2340595722198486,78.15075200573888,76.25657653808594,Transformer,Triticale
EM porc croissance (kcal) kcal/kg brut,-1.7513258457183838,82.56975625758804,81.04960632324219,Transformer,Triticale
EN porc croissance (kcal) kcal/kg brut,-0.79691481590271,53.273558370775035,52.057838439941406,Transformer,Triticale
EMAn coq (kcal) kcal/kg brut,0.38709956407546997,52.185883676317346,46.38270568847656,Transformer,Triticale
EMAn poulet (kcal) kcal/kg brut,-1.794809341430664,107.09312992233676,105.72575378417969,Transformer,Triticale
UFL 2018 par kg brut,-0.14472877979278564,0.018084404331460018,0.016681484878063202,Transformer,Triticale
UFV 2018 par kg brut,-0.1296238899230957,0.019672925275066606,0.017653174698352814,Transformer,Triticale
PDIA 2018 g/kg brut,-1.7662999629974365,2.5281804629208104,2.405231475830078,Transformer,Triticale
PDI 2018 g/kg brut,0.8927135467529297,0.6012828226310292,0.4830816388130188,Transformer,Triticale
BalProRu 2018 g/kg brut,-0.7515820264816284,7.373715822302631,7.2787766456604,Transformer,Triticale
